UniProt_ID	KEGG_Pathways	EC_Number	BRENDA_EC	Recommended_Name	Organism	KEGG_ID
1236|Gammaproteobacteria	-	-	-	L	COG1203@1|root,COG1203@2|Bacteria,1MVZF@1224|Proteobacteria,1RQH5@1236|Gammaproteobacteria,3NKDP@468|Moraxellaceae	-
10662|Myoviridae	-	-	-	-	4QE4D@10239|Viruses,4R066@35237|dsDNA viruses  no RNA stage,4QT6J@28883|Caudovirales,4QK28@10662|Myoviridae	-
10662|Myoviridae	-	-	-	S	4QB5I@10239|Viruses,4QUT2@35237|dsDNA viruses  no RNA stage,4QPQ9@28883|Caudovirales,4QI9F@10662|Myoviridae	-
10662|Myoviridae	-	-	-	S	4QHG7@10239|Viruses,4R0G1@35237|dsDNA viruses  no RNA stage,4QRS2@28883|Caudovirales,4QJX5@10662|Myoviridae	-
29547|Epsilonproteobacteria	1.2.7.3	-	-	C	COG1014@1|root,COG1014@2|Bacteria,1R8XG@1224|Proteobacteria,42NPD@68525|delta/epsilon subdivisions,2YMM0@29547|Epsilonproteobacteria	1.2.7.3
29547|Epsilonproteobacteria	1.2.7.11,1.2.7.3	-	-	C	COG1013@1|root,COG1013@2|Bacteria,1R5BF@1224|Proteobacteria,42MD3@68525|delta/epsilon subdivisions,2YMMW@29547|Epsilonproteobacteria	1.2.7.11,1.2.7.3
10744|Podoviridae	-	GO:0003674,GO:0003824,GO:0004518,GO:0004527,GO:0006139,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008408,GO:0009987,GO:0016787,GO:0016788,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0046483,GO:0071704,GO:0090304,GO:0090305,GO:1901360	GO:0003674,GO:0003824,GO:0004518,GO:0004527,GO:0006139,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008408,GO:0009987,GO:0016787,GO:0016788,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0046483,GO:0071704,GO:0090304,GO:0090305,GO:1901360	S	4QAKM@10239|Viruses,4QUU7@35237|dsDNA viruses  no RNA stage,4QPEF@28883|Caudovirales,4QNER@10744|Podoviridae	-
200783|Aquificae	-	GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006457,GO:0006458,GO:0008150,GO:0009987,GO:0016465,GO:0032991,GO:0044183,GO:0044424,GO:0044444,GO:0044445,GO:0044464,GO:0051082,GO:0061077,GO:0101031,GO:1990220	GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006457,GO:0006458,GO:0008150,GO:0009987,GO:0016465,GO:0032991,GO:0044183,GO:0044424,GO:0044444,GO:0044445,GO:0044464,GO:0051082,GO:0061077,GO:0101031,GO:1990220	O	COG0459@1|root,COG0459@2|Bacteria,2G3V0@200783|Aquificae	-
2|Bacteria	3.5.2.3	-	-	F	COG0044@1|root,COG0044@2|Bacteria	3.5.2.3
29547|Epsilonproteobacteria	-	-	-	-	2BR2F@1|root,32K07@2|Bacteria,1Q9CG@1224|Proteobacteria,431YP@68525|delta/epsilon subdivisions,2YS6G@29547|Epsilonproteobacteria	-
1224|Proteobacteria	1.17.1.9	-	-	C	COG0243@1|root,COG0243@2|Bacteria,1R0ZP@1224|Proteobacteria,4306I@68525|delta/epsilon subdivisions	1.17.1.9
